timestamp,equipment_tag,unit_id,Shell_Inlet_Temp_C,Tube_Outlet_Temp_C,DeltaP_bar,anomaly_flag
2026-06-01T00:00:00,200-E-204,200,239.71,69.03,1.75,0
2026-06-01T06:00:00,200-E-204,200,221.86,166.56,1.2,0
2026-06-01T12:00:00,200-E-204,200,171.98,174.98,1.48,0
2026-06-01T18:00:00,200-E-204,200,307.22,114.57,1.0,0
2026-06-02T00:00:00,200-E-204,200,263.84,124.5,0.74,0
2026-06-02T06:00:00,200-E-204,200,262.55,97.11,0.4,0
2026-06-02T12:00:00,200-E-204,200,166.53,159.03,0.56,0
2026-06-02T18:00:00,200-E-204,200,296.08,163.66,1.23,0
2026-06-03T00:00:00,200-E-204,200,156.12,161.27,0.54,0
2026-06-03T06:00:00,200-E-204,200,253.22,174.1,1.45,0
2026-06-03T12:00:00,200-E-204,200,166.92,77.55,1.75,0
2026-06-03T18:00:00,200-E-204,200,239.04,153.66,1.64,0
2026-06-04T00:00:00,200-E-204,200,251.13,88.01,1.36,0
2026-06-04T06:00:00,200-E-204,200,222.41,155.27,0.98,0
2026-06-04T12:00:00,200-E-204,200,201.82,136.92,1.22,0
2026-06-04T18:00:00,200-E-204,200,234.65,147.78,1.56,0
2026-06-05T00:00:00,200-E-204,200,231.83,178.28,0.95,0
2026-06-05T06:00:00,200-E-204,200,269.22,128.77,1.26,0
2026-06-05T12:00:00,200-E-204,200,276.53,131.29,0.56,0
2026-06-05T18:00:00,200-E-204,200,152.67,91.8,0.49,0
2026-06-06T00:00:00,200-E-204,200,244.66,80.91,0.31,0
2026-06-06T06:00:00,200-E-204,200,286.17,159.95,0.73,0
2026-06-06T12:00:00,200-E-204,200,311.28,67.74,1.43,0
2026-06-06T18:00:00,200-E-204,200,274.08,167.75,1.63,0
2026-06-07T00:00:00,200-E-204,200,188.56,160.64,1.6,0
2026-06-07T06:00:00,200-E-204,200,187.66,109.05,0.88,0
2026-06-07T12:00:00,200-E-204,200,209.33,80.52,1.64,0
2026-06-07T18:00:00,200-E-204,200,220.16,77.25,0.43,0
2026-06-08T00:00:00,200-E-204,200,177.1,162.24,1.41,0
2026-06-08T06:00:00,200-E-204,200,295.13,125.02,1.71,0
2026-06-08T12:00:00,200-E-204,200,252.38,99.49,1.07,0
2026-06-08T18:00:00,200-E-204,200,211.97,89.36,1.06,0
2026-06-09T00:00:00,200-E-204,200,252.76,63.04,1.52,0
2026-06-09T06:00:00,200-E-204,200,161.47,123.69,0.45,0
2026-06-09T12:00:00,200-E-204,200,225.12,126.15,1.32,0
2026-06-09T18:00:00,200-E-204,200,273.76,175.85,1.61,0
2026-06-10T00:00:00,200-E-204,200,197.21,66.49,1.11,0
2026-06-10T06:00:00,200-E-204,200,197.04,74.95,0.7,0
2026-06-10T12:00:00,200-E-204,200,189.73,155.92,1.09,0
2026-06-10T18:00:00,200-E-204,200,285.88,117.68,1.54,0
2026-06-11T00:00:00,200-E-204,200,213.82,158.48,0.56,0
2026-06-11T06:00:00,200-E-204,200,224.04,116.1,1.24,0
2026-06-11T12:00:00,200-E-204,200,261.81,135.06,0.69,0
2026-06-11T18:00:00,200-E-204,200,159.84,135.06,1.65,0
2026-06-12T00:00:00,200-E-204,200,262.76,99.21,1.49,0
2026-06-12T06:00:00,200-E-204,200,205.48,148.91,1.65,0
2026-06-12T12:00:00,200-E-204,200,183.99,73.05,1.17,0
2026-06-12T18:00:00,200-E-204,200,293.98,112.55,1.3,0
2026-06-13T00:00:00,200-E-204,200,227.92,130.74,0.99,0
2026-06-13T06:00:00,200-E-204,200,222.8,104.04,0.53,0
2026-06-13T12:00:00,200-E-204,200,176.04,87.18,0.92,0
2026-06-13T18:00:00,200-E-204,200,211.2,60.63,1.08,0
2026-06-14T00:00:00,200-E-204,200,156.25,173.44,0.61,0
2026-06-14T06:00:00,200-E-204,200,195.1,158.16,0.78,0
2026-06-14T12:00:00,200-E-204,200,199.28,117.16,1.03,0
2026-06-14T18:00:00,200-E-204,200,304.35,82.66,1.26,0
2026-06-15T00:00:00,200-E-204,200,158.53,118.2,1.43,0
2026-06-15T06:00:00,200-E-204,200,250.13,62.94,0.67,0
2026-06-15T12:00:00,200-E-204,200,210.29,178.21,1.53,0
2026-06-15T18:00:00,200-E-204,200,295.94,92.4,1.05,0
2026-06-16T00:00:00,200-E-204,200,200.56,122.49,1.33,0
2026-06-16T06:00:00,200-E-204,200,163.46,178.17,1.02,0
2026-06-16T12:00:00,200-E-204,200,296.67,139.2,0.76,0
2026-06-16T18:00:00,200-E-204,200,230.92,112.02,0.36,0
2026-06-17T00:00:00,200-E-204,200,177.39,96.4,1.26,0
2026-06-17T06:00:00,200-E-204,200,235.54,81.69,1.1,0
2026-06-17T12:00:00,200-E-204,200,291.74,99.87,1.11,0
2026-06-17T18:00:00,200-E-204,200,268.99,165.0,0.6,0
2026-06-18T00:00:00,200-E-204,200,222.7,164.52,0.53,0
2026-06-18T06:00:00,200-E-204,200,281.64,88.24,0.52,0
2026-06-18T12:00:00,200-E-204,200,250.86,86.0,1.78,0
2026-06-18T18:00:00,200-E-204,200,306.58,176.92,0.78,0
2026-06-19T00:00:00,200-E-204,200,240.9,149.79,1.61,0
2026-06-19T06:00:00,200-E-204,200,303.45,148.24,1.01,0
2026-06-19T12:00:00,200-E-204,200,316.57,151.68,0.44,0
2026-06-19T18:00:00,200-E-204,200,171.0,121.4,1.26,0
2026-06-20T00:00:00,200-E-204,200,150.29,142.43,0.49,0
2026-06-20T06:00:00,200-E-204,200,313.56,111.71,1.31,0
2026-06-20T12:00:00,200-E-204,200,292.4,162.32,1.46,0
2026-06-20T18:00:00,200-E-204,200,315.22,82.93,1.2,0
2026-06-21T00:00:00,200-E-204,200,186.35,122.06,0.35,0
2026-06-21T06:00:00,200-E-204,200,299.44,112.58,1.5,0
2026-06-21T12:00:00,200-E-204,200,190.21,167.15,0.85,0
2026-06-21T18:00:00,200-E-204,200,254.26,153.57,0.71,0
2026-06-22T00:00:00,200-E-204,200,167.91,160.37,0.32,0
2026-06-22T06:00:00,200-E-204,200,184.84,77.71,0.61,0
2026-06-22T12:00:00,200-E-204,200,258.99,169.26,0.4,0
2026-06-22T18:00:00,200-E-204,200,235.2,65.77,0.8,0
2026-06-23T00:00:00,200-E-204,200,168.23,162.73,0.8,0
2026-06-23T06:00:00,200-E-204,200,200.27,166.28,1.42,0
2026-06-23T12:00:00,200-E-204,200,236.1,152.3,0.66,0
2026-06-23T18:00:00,200-E-204,200,184.98,122.03,0.46,0
2026-06-24T00:00:00,200-E-204,200,198.59,79.37,1.6,0
2026-06-24T06:00:00,200-E-204,200,233.98,66.07,0.77,0
2026-06-24T12:00:00,200-E-204,200,158.98,97.24,0.82,0
2026-06-24T18:00:00,200-E-204,200,159.46,98.22,1.73,0
2026-06-25T00:00:00,200-E-204,200,244.12,121.55,1.45,0
2026-06-25T06:00:00,200-E-204,200,262.97,151.52,1.34,0
2026-06-25T12:00:00,200-E-204,200,182.01,100.22,0.55,0
2026-06-25T18:00:00,200-E-204,200,201.3,72.83,1.08,0
2026-06-26T00:00:00,200-E-204,200,164.48,96.39,0.38,0
2026-06-26T06:00:00,200-E-204,200,319.95,112.99,1.79,0
2026-06-26T12:00:00,200-E-204,200,165.0,135.18,1.11,0
2026-06-26T18:00:00,200-E-204,200,206.08,143.9,1.39,0
2026-06-27T00:00:00,200-E-204,200,151.1,139.26,0.36,0
2026-06-27T06:00:00,200-E-204,200,289.41,120.13,0.43,0
2026-06-27T12:00:00,200-E-204,200,271.84,92.65,1.36,0
2026-06-27T18:00:00,200-E-204,200,164.92,77.03,1.12,0
2026-06-28T00:00:00,200-E-204,200,156.48,162.8,1.03,0
2026-06-28T06:00:00,200-E-204,200,293.86,112.32,0.81,0
2026-06-28T12:00:00,200-E-204,200,202.69,75.45,1.22,0
2026-06-28T18:00:00,200-E-204,200,263.58,61.17,1.72,0
2026-06-29T00:00:00,200-E-204,200,314.39,172.08,0.5,0
2026-06-29T06:00:00,200-E-204,200,178.98,82.0,0.52,0
2026-06-29T12:00:00,200-E-204,200,258.2,65.74,1.7,0
2026-06-29T18:00:00,200-E-204,200,191.53,84.73,0.4,0
2026-06-30T00:00:00,200-E-204,200,166.52,137.67,0.7,0
2026-06-30T06:00:00,200-E-204,200,215.71,132.44,1.57,0
2026-06-30T12:00:00,200-E-204,200,185.6,121.61,1.09,0
2026-06-30T18:00:00,200-E-204,200,226.45,66.98,0.36,0
