timestamp,equipment_tag,unit_id,Discharge_Pressure_barg,Suction_Pressure_barg,Vibration_mm_s,Motor_Current_A,anomaly_flag
2026-04-01T00:00:00,400-P-405,400,15.87,3.47,2.64,84.61,0
2026-04-01T06:00:00,400-P-405,400,15.49,3.68,2.94,77.63,0
2026-04-01T12:00:00,400-P-405,400,11.2,3.71,4.04,82.01,0
2026-04-01T18:00:00,400-P-405,400,18.6,4.29,3.98,68.07,0
2026-04-02T00:00:00,400-P-405,400,17.74,2.01,1.53,89.47,0
2026-04-02T06:00:00,400-P-405,400,19.37,1.32,3.46,72.74,0
2026-04-02T12:00:00,400-P-405,400,13.81,1.5,1.52,84.44,0
2026-04-02T18:00:00,400-P-405,400,10.33,2.54,3.05,77.08,0
2026-04-03T00:00:00,400-P-405,400,22.31,1.18,3.48,48.47,0
2026-04-03T06:00:00,400-P-405,400,21.91,3.49,2.48,74.67,0
2026-04-03T12:00:00,400-P-405,400,19.13,3.45,4.48,59.72,0
2026-04-03T18:00:00,400-P-405,400,8.35,3.22,4.2,42.9,0
2026-04-04T00:00:00,400-P-405,400,19.04,3.03,3.0,56.43,0
2026-04-04T06:00:00,400-P-405,400,13.31,1.61,2.66,47.15,0
2026-04-04T12:00:00,400-P-405,400,21.14,4.76,1.64,48.91,0
2026-04-04T18:00:00,400-P-405,400,21.7,2.44,3.97,79.25,0
2026-04-05T00:00:00,400-P-405,400,20.97,4.2,4.43,65.41,0
2026-04-05T06:00:00,400-P-405,400,15.5,3.92,3.73,61.86,0
2026-04-05T12:00:00,400-P-405,400,18.64,2.97,1.62,45.74,0
2026-04-05T18:00:00,400-P-405,400,8.12,4.0,1.86,55.84,0
2026-04-06T00:00:00,400-P-405,400,24.67,2.09,2.95,75.8,0
2026-04-06T06:00:00,400-P-405,400,9.0,1.26,3.83,72.74,0
2026-04-06T12:00:00,400-P-405,400,24.4,2.19,2.21,48.45,0
2026-04-06T18:00:00,400-P-405,400,16.28,3.59,3.01,78.94,0
2026-04-07T00:00:00,400-P-405,400,18.84,2.27,1.58,81.42,0
2026-04-07T06:00:00,400-P-405,400,22.45,4.43,1.82,89.49,0
2026-04-07T12:00:00,400-P-405,400,23.17,4.13,3.48,66.33,0
2026-04-07T18:00:00,400-P-405,400,22.93,3.18,2.65,56.89,0
2026-04-08T00:00:00,400-P-405,400,23.0,1.99,2.17,87.42,0
2026-04-08T06:00:00,400-P-405,400,12.45,4.09,1.64,60.1,0
